id,claim,evidence_tier,effect_statistic,primary_source,locator,reproducibility,hostile_witness_use
HW-D18,Regulatory and payout shock windows are not youth-specific in this panel because older-adult severe controls also move significantly,D,v2 regulatory-payout family under-25 severe +0.729 p=0.0278 but 26+ severe control +0.500 p=0.0278; 18-25 vs 26+ severe gap +0.571 p=0.0833 non-significant,Local event-window v2 output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_event_window_quasi_v2_results.json family_results.regulatory_payout_shocks.summary,5,Hardens credibility by documenting non-specific windows that cannot be used as youth-targeted causal evidence
HW-E01,Facebook's own RCT proved its algorithmic feed causally manipulates user emotional states,A,Reducing positive News Feed content caused users to post fewer positive and more negative words; d=0.001-0.02 individual; N=689003,Kramer Guillory Hancock PNAS 111(24):8788-8793 (2014),https://doi.org/10.1073/pnas.1320040111,5,Platform published the paper and cannot claim ignorance of emotional manipulation capacity
HW-E02,Instagram co-founder studied under Stanford Persuasive Technology Lab founder,E,Mike Krieger Stanford M.S. 2008 studied under B.J. Fogg; Fogg 2007 Facebook class 100 students 50+ apps 10M installs,Stanford Persuasive Technology Lab course records; Fogg Behavior Model (2009),web.stanford.edu/group/captology/,4,Direct pedagogical pipeline from persuasion science to billion-user platform design
HW-E03,Explicit operant conditioning manual for product design published by Fogg protege and widely adopted,E,Eyal Hooked (2014) maps variable-ratio reinforcement to digital product design; industry standard reference,Eyal N. (2014) Portfolio/Penguin,ISBN 978-1591847786,4,Behavioral science techniques were explicitly codified and taught to product designers
HW-E04,Facebook founding president admitted exploiting vulnerability in human psychology consciously,C,God only knows what it is doing to our children's brains,Sean Parker Axios interview Nov 9 2017,https://www.axios.com/2017/12/15/sean-parker-facebook-was-designed-to-exploit-human-vulnerability-1513306782,5,First-person admission of conscious exploitation plus concern about children
HW-E05,Facebook VP User Growth admitted creating dopamine-driven feedback loops destroying how society works,C,I feel tremendous guilt; warned parents your children are being programmed,Chamath Palihapitiya Stanford GSB talk Dec 2017,Stanford GSB recording,5,Senior executive admission of mechanism and societal harm plus specific warning about children
HW-E06,Infinite scroll inventor testified it was designed to keep users online as long as possible,C,Estimated 200000 human lifetimes wasted daily,Aza Raskin New Mexico v. Meta trial testimony + public statements 2019,Trial record; BBC/NYT reporting,5,Inventor admission under oath; design intent established by designer himself
HW-E07,Former Google Design Ethicist testified before Senate that platforms use slot machine mechanics on children,C,I add slot machine pull to refresh rewards and I remove stopping cues for infinite scroll,Tristan Harris Senate Commerce Committee testimony June 25 2019,CHRG-116shrg52609,5,Congressional testimony with specific mechanism mapping to gambling
HW-E08,Facebook internal research found Instagram makes body image issues worse for 1 in 3 teen girls,C,Internal slide: We make body image issues worse for one in three teen girls,Frances Haugen disclosure documents 2021,WSJ Facebook Files series; SEC filings,5,Platform's own research documenting harm to specific population with continued deployment
HW-E09,Facebook filed patent for detecting user emotions via smartphone camera to match content,C,Techniques for Emotion Detection and Content Delivery patent,Facebook filed 2014 pub Aug 27 2015,USPTO patent database,4,Documents intent to use real-time emotional surveillance for content manipulation
HW-E10,ByteDance deploys restricted version for Chinese children and unrestricted version internationally,E,Douyin under-14: 40 min/day 6AM-10PM educational algo; International TikTok: engagement-maximized FYP,MIT Technology Review March 8 2023; TIME; Deseret News,https://www.technologyreview.com/,5,Proves deployer recognizes harm potential and chooses to export unrestricted version
HW-E11,Slot machine addiction design principles directly transferred to social media features,E,Machine zone continuous play variable rewards stopping cue removal traced from gambling to digital,Schuell Addiction by Design Princeton UP 2012,ISBN 978-0691160887,5,Platform design features are known gambling mechanics from regulated industry
HW-E12,US military and NATO formally recognize social media platforms as information warfare instruments,E,DARPA SMISC $42-50M 2011 meme tracking; NATO StratCom Embrace Memetic Warfare 2015,DARPA BAA-11-64; Giesea Defence Strategic Communications Vol.1 No.1 2015; RAND RR-1742 2017,DARPA solicitation and NATO publications,5,Manipulative capacity of platform design recognized at highest levels of information warfare doctrine
HW-E13,NATO experimentally proved platforms are trivially manipulable at negligible cost,E,2020: 337768 fake engagements on 5 platforms including US Senator accounts; 98%+ survived 4 weeks for $300; TikTok defenseless,NATO StratCom COE Social Media Manipulation Report 2020,stratcomcoe.org/publications/social-media-manipulation-report-2020/21,5,Military alliance proved engagement metrics are trivially fakeable; platform claim of serving user welfare fails NATO own test
HW-E14,Meta hired 160+ former intelligence and defense personnel for trust safety and content moderation,E,CIA-14+ FBI-26+ NSA-16+ DHS-29+ State-32+ DoD-49+ since 2018; key hires Aaron Berman 15yr CIA to Meta misinfo policy and Jacqueline Lopour 10yr CIA to Google Head Trust Safety,MacLeod MintPress News 2022; cited in Congressional hearings,mintpressnews.com/meet-ex-cia-agents-deciding-facebook-content-policy/281307/,4,Platforms recruited information warfare expertise for content governance establishing products operate in information warfare domain
HW-E15,Same platform features that predict teen depression are features state adversaries exploited for election interference,E,IRA dataset 3M tweets 2848 accounts exploited algorithmic feed opaque recommendation real-time metrics social comparison identity persistence,FiveThirtyEight/Twitter public release,GitHub fivethirtyeight/russian-troll-tweets,5,Features are dual-use by design optimizing engagement regardless of content being organic commercial or adversarial
